2023-09-13_13-24_data.xlsx,Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Airflow (m^3/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Air Velocity (m/s),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Temperature (C),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),Gas (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (seconds),00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.000000112903,0,0,0,0,0,0,0,0.000587773018,0.001390739154,0.001902076841,0.00439870088,0.00505128022,0.011619299342,0.014618567537,0.024675063553,0.00613289096,0.002918655453,0.001963947685,0.002074705528,0.001581996836,0.000890240155,0.00181548024,0.0001,0,0,0,0,0,0,0,0.5206,1.2318,1.6847,3.896,4.474,10.2914,12.9479,21.8551,5.432,2.5851,1.7395,1.8376,1.4012,0.7885,1.608,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,22.1847,60,0,0,0,0,0,0,0,2940,3340,3380,3780,3920,4340,4420,4060,3980,3460,3440,0,0,0,0,2560,2680,2340,2320,0,0,0,5740,5160,4500,4240,3780,3620,3360,3320,7260,7680,7820,8200,8300,8820,8960,10120,10140,10160,10140,10360,10320,10280,10280,9860,9920,9940,9940,10280,10340,10380,9840,10020,10200,10360,10080,10240,10440,10580,9860,10060,10280,10420,10160,10300,10480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.000000112903,0,0,0,0,0,0,0,0.000587773018,0.001390739154,0.001902076841,0.00439870088,0.00505128022,0.011619299342,0.014618567537,0.024675063553,0.00613289096,0.002918655453,0.001963947685,0.002074705528,0.001581996836,0.000890240155,0.00181548024,0.000001806448,0,0,0,0,0,0,0,0.000636547114,0.001521819537,0.002231866504,0.005150183248,0.006206842425,0.013548472903,0.016453805802,0.025763900085,0.006471374154,0.002991590791,0.001857028544,0.001911221984,0.001493029272,0.000829611244,0.0017161256,0.0016,0,0,0,0,0,0,0,0.5638,1.3479,1.9768,4.5616,5.4975,12.0001,14.5734,22.8195,5.7318,2.6497,1.6448,1.6928,1.3224,0.7348,1.52,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,22.1948,40,0,0,0,0,0,0,0,3020,3460,3480,3880,4060,4500,4600,4100,4020,3500,3500,0,0,0,0,2580,2660,2300,2320,0,0,0,5740,5160,4500,4240,3760,3640,3360,3320,7260,7660,7800,8160,8260,8760,8920,10040,10020,10020,9940,10200,10220,10220,10240,9840,9920,9980,10040,10380,10420,10460,9920,10060,10240,10380,10100,10280,10460,10620,9920,10080,10280,10420,10160,10300,10480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.000000112903,0,0,0,0,0,0,0,0.000587773018,0.001390739154,0.001902076841,0.00439870088,0.00505128022,0.011619299342,0.014618567537,0.024675063553,0.00613289096,0.002918655453,0.001963947685,0.002074705528,0.001581996836,0.000890240155,0.00181548024,0.000001806448,0,0,0,0,0,0,0,0.000636547114,0.001521819537,0.002231866504,0.005150183248,0.006206842425,0.013548472903,0.016453805802,0.025763900085,0.006471374154,0.002991590791,0.001857028544,0.001911221984,0.001493029272,0.000829611244,0.0017161256,0,0,0,0,0,0,0,0.000005306441,0.000557176305,0.001565512998,0.001958076729,0.004226636708,0.003889959962,0.008756417971,0.010201124759,0.016855063064,0.004029959682,0.002214592345,0.001563593647,0.001857028544,0.001579964582,0.000992756079,0.002022544342,0,0,0,0,0,0,0,0.0047,0.4935,1.3866,1.7343,3.7436,3.4454,7.7557,9.0353,14.9288,3.5694,1.9615,1.3849,1.6448,1.3994,0.8793,1.7914,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,22.1702,240,200,0,0,0,0,0,0,3040,3480,3520,3980,4140,4540,4600,4120,3980,3480,3460,0,0,0,0,2560,2640,2240,2260,0,0,0,5660,5060,4380,4140,3640,3520,3200,3220,7160,7600,7740,8100,8260,8740,8960,10360,10400,10420,10440,10680,10680,10660,10680,10240,10260,10280,10280,10540,10500,10460,9860,10000,10180,10280,9980,10120,10300,10420,9700,9880,10080,10220,9980,10140,10340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.000000112903,0,0,0,0,0,0,0,0.000587773018,0.001390739154,0.001902076841,0.00439870088,0.00505128022,0.011619299342,0.014618567537,0.024675063553,0.00613289096,0.002918655453,0.001963947685,0.002074705528,0.001581996836,0.000890240155,0.00181548024,0.000001806448,0,0,0,0,0,0,0,0.000636547114,0.001521819537,0.002231866504,0.005150183248,0.006206842425,0.013548472903,0.016453805802,0.025763900085,0.006471374154,0.002991590791,0.001857028544,0.001911221984,0.001493029272,0.000829611244,0.0017161256,0,0,0,0,0,0,0,0.000005306441,0.000557176305,0.001565512998,0.001958076729,0.004226636708,0.003889959962,0.008756417971,0.010201124759,0.016855063064,0.004029959682,0.002214592345,0.001563593647,0.001857028544,0.001579964582,0.000992756079,0.002022544342,0,0,0,0,0,0,0,0.000001467739,0.000490111923,0.001263045861,0.001650416054,0.003797040793,0.003710557095,0.008875417733,0.010803349361,0.018786720491,0.004581039225,0.002394785533,0.001703028852,0.002072108759,0.001725044937,0.001059481752,0.002079899066,0,0,0,0,0,0,0,0.0013,0.4341,1.1187,1.4618,3.3631,3.2865,7.8611,9.5687,16.6397,4.0575,2.1211,1.5084,1.8353,1.5279,0.9384,1.8422,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,22.1454,220,200,0,0,0,0,0,0,3000,3500,3500,3860,4020,4440,4460,4120,3980,3440,3460,0,0,0,0,2480,2600,2220,2200,0,0,0,5640,5100,4380,4180,3660,3580,3260,3280,7200,7620,7800,8140,8300,8800,9020,10340,10380,10380,10400,10640,10640,10640,10600,10180,10160,10140,10180,10440,10440,10400,9820,9940,10100,10240,9940,10100,10300,10440,9720,9920,10120,10280,10020,10180,10380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
37,0.000000112903,0,0,0,0,0,0,0,0.000587773018,0.001390739154,0.001902076841,0.00439870088,0.00505128022,0.011619299342,0.014618567537,0.024675063553,0.00613289096,0.002918655453,0.001963947685,0.002074705528,0.001581996836,0.000890240155,0.00181548024,0.000001806448,0,0,0,0,0,0,0,0.000636547114,0.001521819537,0.002231866504,0.005150183248,0.006206842425,0.013548472903,0.016453805802,0.025763900085,0.006471374154,0.002991590791,0.001857028544,0.001911221984,0.001493029272,0.000829611244,0.0017161256,0,0,0,0,0,0,0,0.000005306441,0.000557176305,0.001565512998,0.001958076729,0.004226636708,0.003889959962,0.008756417971,0.010201124759,0.016855063064,0.004029959682,0.002214592345,0.001563593647,0.001857028544,0.001579964582,0.000992756079,0.002022544342,0,0,0,0,0,0,0,0.000001467739,0.000490111923,0.001263045861,0.001650416054,0.003797040793,0.003710557095,0.008875417733,0.010803349361,0.018786720491,0.004581039225,0.002394785533,0.001703028852,0.002072108759,0.001725044937,0.001059481752,0.002079899066,0.000001241933,0,0,0,0,0,0,0,0.000586643988,0.001388593997,0.001904899416,0.004587023084,0.005365037657,0.011969524448,0.015086889181,0.024211596738,0.006335100233,0.003054477762,0.001963947685,0.001911221984,0.001490997018,0.000833562849,0.001665657959,0.0011,0,0,0,0,0,0,0,0.5196,1.2299,1.6872,4.0628,4.7519,10.6016,13.3627,21.4446,5.6111,2.7054,1.7395,1.6928,1.3206,0.7383,1.4753,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,22.1656,0,0,0,0,0,0,0,0,2960,3400,3380,3820,3980,4400,4480,4000,3940,3420,3420,0,0,0,0,2620,2720,2360,2360,0,0,0,5740,5160,4480,4220,3760,3620,3340,3300,7280,7640,7820,8160,8260,8780,8940,10040,10060,10040,10020,10220,10220,10220,10220,9820,9860,9900,9960,10320,10360,10400,9860,10020,10200,10340,10080,10240,10440,10600,9880,10080,10280,10420,10140,10280,10460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
